id,headline,label
60,Cameroonian football star don retire from international duty,sports
61,New Cameroonian comic book series don launch for youth,entertainment
62,AI-powered crop monitoring tool don help farmer dem today,technology
63,New data protection authority don set up for Cameroon today,technology
64,FECAFOOT don suspend player dem for match-fixing allegation,sports
65,Cameroon oil palm industry don record big growth dis year,business
66,Kontri court don sentence former minister for fraud case,politics
67,Govament don give funding for new road dem for rural area,politics
68,New tech accelerator program don accept application today,technology
69,New smart grid technology don pilot for Douala power network,technology
70,New tech campus don plan for University of Ngaoundéré,technology
71,New student health insurance program don launch for university,health
72,Cameroon don partner WHO for improved disease monitoring,health
73,Cameroonian data scientist don present at global AI conference,technology
74,Cameroonian developer don create app for public transport,technology
75,New bank branch don open for Bafoussam to serve business,business
76,Govament don grant amnesty to some prisoner dem today,politics
77,Kontri telecom giant don partner with Microsoft for cloud,technology
78,New contact tracing app don help Cameroon track disease case,health
79,Cameroonian renewable energy app don monitor solar system,technology
80,Cameroonian cloud startup don win pitch competition for Africa,technology
81,Online tax filing system don reduce corruption for kontri,technology
82,Kontri health worker dem don call for better PPE supply,health
83,Cameroonian footballer don get player of month award for club,sports
84,Cameroonian startup dem showcase product for African Union,technology
85,Kontri president don send condolences for flood disaster,politics
86,New hepatitis B vaccination program don cover kontri today,health
87,Malnutrition rate don fall for kontri after food program,health
88,Cameroonian fencer don win bronze for youth world champs,sports
89,Govament don suspend some civil servant dem for corruption,politics
90,New land tenure reform bill don pass third reading today,politics
91,Cameroon govament don reject ceasefire proposal from Ambas,politics
92,Cameroonian kickboxing champion don defend belt for Lagos,sports
93,New clinical research unit don open for Douala general hospital,health
94,Cameroon don sign AU agreement for continental free trade,politics
95,Cameroonian fashion designer don show collection for Paris,entertainment
96,Kontri poet don publish new collection for diaspora audience,entertainment
97,New digital governance index don rank Cameroon higher today,technology
98,School sport competition don start for all region dem today,sports
99,New political party don register for elektion commission,politics
100,New tech for agriculture summit don hold for Yaoundé today,technology
101,Kontri cycling team don complete national race in record time,sports
102,Govament don order investigation for corruption at customs,politics
103,Cameroonian film festival don host director from 20 kontri,entertainment
104,New kontri anti-doping campaign don launch for athlete dem,sports
105,Cameroon don receive support for fighting sleeping sickness,health
106,Kontri entertainment industry don create thousands new job,entertainment
107,Cameroonian robotics students win prize for African contest,technology
108,Finance ministry don announce new public debt management,business
109,Kontri military court don hear case of soldier accused of abuse,politics
110,New coding bootcamp don open for secondary school student,technology
111,Cameroon beverage industry don announce major factory upgrade,business
112,New micro-finance scheme don launch for rural farmer dem,business
113,Kontri cancer foundation don raise fund for treatment center,health
114,CamWater don raise water tariff for major city dem soon,business
115,Governor for Northwest Region don address crisis situation,politics
116,Ministry don warn against use of dangerous herbal product,health
117,National Assembly don pass new budget for dis year,politics
118,New local film distribution network don reach all region,entertainment
119,Cameroonian musician don perform for African Union summit,entertainment
120,Cameroonian balafon musician don tour for European country dem,entertainment
121,New ambulance fleet don arrive for regional hospital dem,health
122,New dialysis center don open for patient with kidney problem,health
123,Cameroonian app don simplify court process for citizen,technology
124,MTN don introduce 5G service for Douala and Yaoundé city,technology
125,Professional footballer don return from injury for training,sports
126,Kontri pop singer don collaborate with French music artist,entertainment
127,New sport journalism school don open for Douala city today,sports
128,New mobile banking app don launch for rural customer dem,business
129,Cameroonian content creator don reach 2 million subscriber,entertainment
130,Digital journalism training program don open for reporter dem,technology
131,Cameroonian swimmer don set new national record for 200m,sports
132,New open source project don come from Cameroonian developer,technology
133,New investment in renewable energy don reach kontri market,business
134,Prime Minister don open new national conference for unity,politics
135,New artisan cooperative don form for craft export sector,business
136,Kontri opposition don say govament di manipulate voter list,politics
137,Cameroonian startup don create water quality monitoring app,technology
138,Cameroon don record fall in TB new case for dis year,health
139,Govament don promise to rebuild school dem for crisis zone,politics
140,Kontri broadcasting authority don regulate online media now,technology
141,Free ultrasound for pregnant woman don start for clinic,health
142,New art residency program don open for kontri young artist,entertainment
143,Free contraceptive service don start for young woman dem,health
144,Kontri TV presenter don win Africa media personality award,entertainment
145,Kontri circus performer don dazzle crowd for Limbe festival,entertainment
146,Para-athlete dem from Cameroon don go for Paralympic Games,sports
147,Cameroonian Afropop group don sign with international label,entertainment
148,New tech grant program don support ten African startup dem,technology
149,New fashion photography exhibition don open for Yaoundé,entertainment
150,New music competition don open for young Cameroonian talent,entertainment
151,New digital archive for Kamtok language don launch today,technology
152,Kontri surgeon dem don perform rare heart surgery for success,health
153,Cameroonian programmer don build traffic management system,technology
154,Kontri health system don get new strengthening from GAVI,health
155,Govament don allocate fund for rebuilding of ghost town area,politics
156,Cameroon don host African health ministers conference today,health
157,Cameroonian stand-up comedian don go viral for online video,entertainment
158,Cameroon cocoa and coffee board don open new farmer center,business
159,Cameroon don appoint new assistant coach for lions team,sports
160,National futsal team don go for African futsal tournament,sports
161,Kontri market for organic product don record big growth,business
162,New data protection act don come for Cameroon parliament,politics
163,New kontri mixed martial arts association don form today,sports
164,Govament don announce free health care for mother and child,politics
165,Govament don announce national day celebration for kontri,politics
166,Kontri film director don speak for MoMA event for New York,entertainment
167,Govament don reject foreign interference in kontri affairs,politics
168,Makossa music legend don get lifetime achievement award,entertainment
169,Young Lions don win AFCON Under-20 tournament for kontri,sports
170,Cameroon banana export don drop by ten percent dis year,business
171,Kontri SME support center don help 500 startup dis year,business
172,New national league trophy don unveil for upcoming season,sports
173,Kontri music video director don win award at pan-Africa fest,entertainment
174,New fintech startup don raise 500 million franc investment,technology
175,Govament don increase salary for civil servant dem small small,politics
176,Cameroon groundnut oil market don record supply shortage,business
177,Cameroonian coach don guide local team to continental glory,sports
178,Kontri football league top scorer don get award dis season,sports
179,Cameroonian visual artist don sell painting for record price,entertainment
180,SDF party don file complaint for supreme court for Cameroon,politics
181,New kontri innovation fund don award grant to ten project,technology
182,Opposition leader don demand transparent elektion process,politics
183,Lions don win 3-0 against South Africa for friendly match,sports
184,New logistics corridor don link Cameroon with Chad market,business
185,National basketball team don qualify for continental cup,sports
186,Ministry don launch clean cooking program to reduce lung case,health
187,National sport festival don schedule for Limbe dis year,sports
188,New kontri trade statistics portal don go live for business,business
189,Cameroon export for cocoa don increase for twenty percent,business
190,Cameroonian triathlete don finish race for international event,sports
191,Cameroonian cocoa farmer dem don form new cooperative today,business
192,Kontri nutrition advocate dem call for better school meal,health
193,Celebrity wedding don make news for whole kontri dis week,entertainment
194,Govament don open new embassy for Gulf country dis year,politics
195,Kontri traditional birth attendant dem don get new training,health
196,Kontri Instagram comedian don get international deal today,entertainment
197,Kontri dance crew don perform for international stage today,entertainment
198,Minister don table new transport infrastructure plan today,politics
199,Cameroonian solar energy company don raise new funding round,business
200,Cameroonian startup don win Google for Africa award today,technology
201,Digital land mapping system don launch for cadastral service,technology
202,Regional delegate don report progress for conflict resolution,politics
203,New pediatric ward don commission for hospital for Garoua,health
204,Cameroonian singer don collaborate with Nigerian music star,entertainment
205,Cameroonian costume designer don win award for African film,entertainment
206,Kontri Olympic committee don meet for annual general meeting,sports
207,Lions den don win 2-0 in away match for continent qualifier,sports
208,Internet penetration for Cameroon don reach forty percent,technology
209,Cameroonian developer dem form association for open source,technology
210,New Douala-Yaoundé express road don attract private investor,business
211,New cloud hosting service don launch for Cameroon company,technology
212,Kontri president don send message for African Unity Day,politics
213,Kontri female footballer don earn professional contract abroad,sports
214,Govament spokesperson don deny report of president poor health,politics
215,Human right group don report abuse for Anglophone region,politics
216,Cameroonian startup don create food delivery platform for town,technology
217,Cameroon don receive donation of medical equipment from China,health
218,New research center don study AI impact on African society,technology
219,New lion mascot don unveil for national team for tournament,sports
220,Cameroonian startup dem present product for tech expo today,technology
221,Cameroonian student dem don build low-cost prosthetic hand,technology
222,Cameroonian boxer don defend WBA title for international bout,sports
223,Cameroonian sport association don partner with US university,sports
224,New kontri bond market don attract institutional investor,business
225,Gov don invest in new satellite connectivity for rural area,technology
226,Cameroonian athlete don break African record for 100m race,sports
227,Opposition coalition don boycott upcoming elektion process,politics
228,New athletic training camp don start for promising runner,sports
229,Kontri prime minister don deny rumor of cabinet reshuffle,politics
230,New sports lottery don launch to fund national team development,sports
231,New mental health policy don address stigma for sick people,health
232,Cameroonian beatboxer don win African championship for art,entertainment
233,New refugee policy don come from kontri foreign affairs,politics
234,New smart bus system don launch for Douala city transport,technology
235,Kontri prime minister don meet World Bank president for aid,politics
236,Cameroonian youth dem win national robotics championship,technology
237,Kontri election body don reject opposition list for region,politics
238,Kontri album of the year don feature diverse genre today,entertainment
239,Kontri president don receive credential from new ambassador,politics
240,National beach volleyball team don finish second at tournament,sports
241,Kontri defense minister don visit military base for south,politics
242,New carbon credit scheme don offer revenue for forest owner,business
243,New basketball arena don plan for Douala Bonamoussadi,sports
244,Kontri tech entrepreneur dem meetup for Limbe dis month,technology
245,New free WiFi zone don cover five major market in Douala,technology
246,Kontri musician don collaborate with diaspora artist abroad,entertainment
247,New podcast from Cameroon don discuss African pop culture,entertainment
248,New psychiatric ward don commission for Yaoundé hospital,health
249,Cameroonian developer don build offline learning app for school,technology
250,Cameroonian animation studio don produce first local cartoon,entertainment
251,New district administration don create for overcrowded town,politics
252,Ministry don warn against consumption of unsafe food for market,health
253,Govament don open border with Nigeria after long closure,politics
254,Minister for external affairs don meet African Union head,politics
255,FECAFOOT don release new rules for next football season,sports
256,Popular Cameroonian musician don release new album today,entertainment
257,President don appoint new ambassador go for USA embassy,politics
258,Free deworming exercise don start for school pickin dem,health
259,New agri-fintech platform don help farmer dem get quick loan,business
260,Kontri medical university don graduate biggest doctor batch,health
261,Cameroon cancer screening exercise don start for Douala,health
262,FECAFOOT don hold congress for annual budget approval today,sports
263,Cameroonian handball player don sign for European club,sports
264,Kontri health worker registration system don go digital now,health
265,Kontri movie don screen at Cannes Film Festival dis year,entertainment
266,Cameroon women entrepreneur forum don hold for Douala,business
267,Govament don introduce new budget transparency measure today,politics
268,FECAFOOT don appoint new medical team for national squad,sports
269,Mobile banking transaction dem don increase for dis quarter,technology
270,New stadium lighting system don install for big match,sports
271,Cameroonian young athlete don win youth Olympic gold medal,sports
272,New immigration law don come for kontri national assembly,politics
273,Cameroon don apply for new IMF loan to boost economy,politics
274,Kontri movie don feature for African Cinema Week in Paris,entertainment
275,Kontri minister don announce investigation for missing fund,politics
276,Cameroonian woman entrepreneur don get international award,business
277,New commodity exchange don plan to start for Douala city,business
278,New blood collection drive don meet hospital urgent need,health
279,New hospital transport subsidy don help poor patient reach care,health
280,Biya don talk say he go complete term wey e don start,politics
281,Govament don announce consultation for new constitution,politics
282,Govament don promise justice for victim dem of Ambas attack,politics
283,New freight service don start between Douala and Yaoundé,business
284,Ministry don warn against counterfeit surgical supply in market,health
285,Kontri government don pilot digital school feeding management,technology
286,Minister don present five-year development plan for cabinet,politics
287,Digital news platform in Kamtok don launch for public today,technology
288,Kontri gospel singer don release new Christian music album,entertainment
289,Free dental checkup exercise don hold for school dem today,health
290,Cameroonian drone company don win contract for aerial survey,technology
291,FECAFOOT arbitration chamber don resolve player contract,sports
292,Digital weather station network don expand for kontri farmer,technology
293,Kontri high jump athlete don win silver for world meet,sports
294,Free blood pressure check don hold for market area today,health
295,"Free medical camp don serve over 5,000 patient dis weekend",health
296,Govament don say he go open new dialogue for peace process,politics
297,Popular Cameroonian artist don return from world music tour,entertainment
298,Cameroonian startup dem don pitch for big investor forum,technology
299,New entertainment app don let kontri music artist sell song,entertainment
300,Cameroon plastic waste recycling business don expand today,business
301,Kontri referee exchange program don begin with France today,sports
302,Cameroonian agro-processing startup don win innovation prize,business
303,Cameroonian drone startup don test delivery for rural zone,technology
304,New Cameroonian fashion show don attract designer dem globally,entertainment
305,Digital court transcription system don launch for Cameroon,technology
306,Cameroonian film star don do interview on big US talk show,entertainment
307,Kontri diplomat don protest neighboring country action today,politics
308,Cameroonian machine learning system don improve weather forecast,technology
309,New women-led SME fund don attract applications from business,business
310,Inflation don rise to seven percent for dis quarter period,business
311,New free trade agreement don sign with neighboring kontri,business
312,Cameroonian table tennis player don win regional title,sports
313,Ministry of health don deploy mobile clinic for rainy season,health
314,Kontri university don launch master program in data science,technology
315,Kontri real estate market don show recovery sign dis year,business
316,Govament don deploy more security for upcoming election day,politics
317,New economic recovery plan don target growth for kontri,business
318,New telemedicine service don allow patient consult doctor home,health
319,Cameroonian youth don build award winning solar lantern,technology
320,National handball team don go for world championship today,sports
321,Lions don hold emergency training camp for important match,sports
322,Cameroonian doctor dem don return from international training,health
323,Kontri reality show don cast contestant from all ten region,entertainment
324,Kontri beach volleyball team don qualify for world tour,sports
325,New wheelchair basketball team don form for national league,sports
326,Kontri medical supplier don face probe for fake drug sale,health
327,Cameroonian health startup don receive innovation grant today,health
328,National security council don meet for Yaoundé dis week,politics
329,President don meet traditional ruler dem for palace Yaoundé,politics
330,Cameroon don win bid for host African School Games 2028,sports
331,Electricity supply improvement don boost business productivity,business
332,National team captain don address media before big match,sports
333,New financial literacy campaign don launch for trader dem,business
334,Kontri textile factory don rehire worker after retooling,business
335,New zoonotic disease surveillance don detect risk early today,health
336,Cameroonian developer don build disaster alert system for region,technology
337,New whistle-blower protection law don enter parliament today,politics
338,Cameroon malaria death rate don fall by twenty percent,health
339,Cameroonian digital map startup don cover every kontri village,technology
340,Fresh produce market don modernize for Yaoundé Mfoundi,business
341,New training program don improve skill of nurse dem today,health
342,Online learning app don help student dem for remote area,technology
343,Kontri writer dem don form new association for literature,entertainment
344,New intensive care unit don equip for university hospital,health
345,New kontri business confidence index don fall for Q1 2026,business
346,Cameroonian business community don demand tax reduction now,business
347,Orange Cameroon don expand fiber optic network for city,technology
348,New midwife training program don reduce birth complication,health
349,Cameroonian tech firm don expand to Ghana and Côte d'Ivoire,technology
350,Cameroon don host African athletics championship for 2027,sports
351,Cameroonian track star don train for upcoming world games,sports
352,New diaspora remittance corridor don reduce transfer cost,business
353,New film funding mechanism don help low-budget production,entertainment
354,New decentralization law don come for kontri administration,politics
355,Govament don partner EU for governance improvement program,politics
356,New kontri drama series don begin shooting for next season,entertainment
357,Cameroonian student don win prize for science technology,technology
358,Kontri hip hop freestyle competition don bring talent together,entertainment
359,Kontri fashion industry don grow with new designer brand,business
360,Cameroon cotton output don fall because of drought season,business
361,New sports complex don break ground for Bafoussam city,sports
362,Business council don propose new economic stimulus package,business
363,New e-commerce training don help trader dem go online,technology
364,President don deliver speech for national reconciliation day,politics
365,Cameroonian AI startup don raise funding from US investor,technology
366,New electronic voting machine don test before next election,technology
367,Govament don partner with China for new infrastructure deal,politics
368,Free prostate cancer test don available for man dem above 45,health
369,Kontri central bank don cut interest rate to spur growth,business
370,Cameroonian health startup don monitor patient dem remotely,technology
371,New outreach program don bring specialist care to village,health
372,Cameroonian footballer don win young player of year award,sports
373,Regional governor don launch program for youth employment,politics
374,National volleyball team don win tournament for Douala city,sports
375,New children choir don perform at national cultural event,entertainment
376,New e-health platform don allow patient dem book doctor online,technology
377,New public-private partnership don develop kontri airport,business
378,Cameroon banana plantation don face disease outbreak today,business
379,Govament don condemn attack on civil servant for north west,politics
380,Young Cameroonian singer don blow for social media platform,entertainment
381,FECAFOOT don launch grassroots football development plan,sports
382,New consumer protection law don protect buyer dem from fraud,business
383,Kontri music award don celebrate 15 years of Cameroonian art,entertainment
384,New fiscal incentive don attract fresh investment in energy,business
385,Ministry don launch new program for sickle cell patient dem,health
386,Cameroonian cyclist don finish second for African road race,sports
387,President don attend African leaders summit for Addis Ababa,politics
388,New medical waste management plan don protect community,health
389,FECAFOOT don launch online ticket system for league match,sports
390,Cameroonian music producer don collaborate with UK artist,entertainment
391,New cyber security center don open for Yaoundé dis month,technology
392,Cameroonian violinist don perform for classical music stage,entertainment
393,Cameroonian author book don enter school curriculum today,entertainment
394,New indoor sport hall don commission for north region area,sports
395,Cameroonian developer don build offline e-reader for school,technology
396,Popular TV presenter don join new kontri television station,entertainment
397,Cameroonian IoT company don deploy smart meter for water,technology
398,Online market platform don connect farmer to urban buyer,technology
399,Cameroonian logging company don face ban for illegal cutting,business
400,Kontri supreme court don rule against opposition candidate,politics
401,Kontri law on cybercrime don pass for national assembly,politics
402,New kontri drama don address social issue for young people,entertainment
403,Cameroonian timber firm don get sustainable forest certificate,business
404,Kontri anti-graft court don dismiss case for lack of evidence,politics
405,Kontri physical therapy training program don begin today,health
406,Cameroonian long jumper don qualify for world championship,sports
407,Cameroonian reggae artist don drop new Roots album today,entertainment
408,Cameroonian traditional dancer don perform for Europe tour,entertainment
409,New kontri beach soccer team don form for continental cup,sports
410,Free blood sugar test don available for market trader dem,health
411,New solar-powered charging station don install for market,technology
412,Kontri indie film don win audience choice for African fest,entertainment
413,Cameroonian edtech startup don partner with UNICEF for school,technology
414,New business registration law don reduce time to two day,business
415,Kontri football referee don officiate at continental final,sports
416,Cameroon palm oil refinery don increase production capacity,business
417,New mass drug administration don target bilharzia for north,health
418,Cameroon grassroots football program don reach new village,sports
419,Cameroon govament don give scholarship to student dem abroad,politics
420,Kontri parliament recess don end and session don resume today,politics
421,New cooperative society don help woman dem start business,business
422,Cameroonian author don win prize for new novel in French,entertainment
423,Cameroon don launch new mental wellness campaign for student,health
424,New artificial grass pitch don commission for local stadium,sports
425,Kontri TV station don upgrade to digital broadcasting system,technology
426,Ministry don deploy health team for new flood disaster area,health
427,Kontri health minister don visit flood-affected community today,health
428,New investment forum for Africa don hold in Yaoundé city,business
429,Cameroonian startup don automate coffee quality inspection,technology
430,Govament don announce emergency food aid for north region,politics
431,Cameroonian beatmaker don produce track for US artist today,entertainment
432,New water and electricity law don pass for national assembly,politics
433,New diabetes management center don open for endocrinology,health
434,Senate don approve new kontri security law for Cameroon,politics
435,New poultry processing facility don open for Bafoussam area,business
436,Kontri doctor dem don go on strike for better pay today,health
437,National dialogue report don present to president for review,politics
438,Cameroon TB alliance don launch new community treatment,health
439,Cameroonian triple jumper don qualify for world athletics,sports
440,Cameroon don record new cholera outbreak for Littoral area,health
441,Cameroonian choreographer don teach dance for international school,entertainment
442,Cameroonian entrepreneur don launch first electric car venture,business
443,Regional governor don talk say security don improve well well,politics
444,Cameroonian wrestling champion don prepare for world meet,sports
445,Kontri government don launch AI policy framework for review,technology
446,New kontri reconciliation commission don receive mandate,politics
447,Prime Minister don hold meeting with traditional ruler dem,politics
448,Cameroon don launch bid for host 2032 AFCON tournament,sports
449,Cameroonian esports team don win African gaming tournament,sports
450,New smart irrigation system don help farmer save water today,technology
451,Cameroonian nightclub owner don open new venue for Limbe,entertainment
452,Kontri parliament don approve new healthcare budget today,politics
453,Cameroonian company don list on regional stock exchange,business
454,Biya administration don deny human right violation report,politics
455,New fintech company don launch mobile payment for farmer,technology
456,Ministry of health don update covid protocol for hospital,health
457,Kontri cricket association don launch first formal league,sports
458,Kontri musician don celebrate 10 years in music industry,entertainment
459,New agricultural value chain fund don receive grant today,business
460,Kontri playwright don win prize for best African drama,entertainment
461,Kontri singer don donate concert proceeds to flood victim,entertainment
462,Kontri ministry of trade don announce new export strategy,business
463,New water purification program don reduce waterborne disease,health
464,New kontri sports development fund don receive allocation,sports
465,Minister of communication don deny censorship allegation today,politics
466,Kontri anti-graft body don arrest three senior official dem,politics
467,Cameroonian robotics team don represent Africa for world meet,technology
468,Afrobeats concert don attract big crowd for Douala city,entertainment
469,Cameroonian hospital don adopt new patient safety protocol,health
470,New entertainment district don plan for Yaoundé Mvan area,entertainment
471,Health worker dem don get hazard allowance from government,health
472,Kontri power company don announce tariff review for next year,business
473,Cameroonian celebrity don endorse new kontri fashion line,entertainment
474,Kontri surgical oncology program don train new specialist,health
475,New arts centre don commission for Ngaoundéré town today,entertainment
476,Cameroonian AI startup don win prize for climate innovation,technology
477,Kontri housing developer don launch affordable unit scheme,business
478,New 3D printing workshop don open for university of Buea,technology
479,Kontri telecoms authority don publish new spectrum policy,technology
480,New regional referral hospital don open for south region,health
481,Digital census platform don collect kontri population data,technology
482,New economic partnership agreement don reach between EU,business
483,Cameroonian music educator don launch free theory class,entertainment
484,Kontri mobile operator don launch unlimited data plan today,technology
485,New drama school don open for aspiring actor dem in Douala,entertainment
486,New aquaculture farm don open for coastal area dis month,business
487,New financial inclusion program don reach unbanked community,business
488,Cameroonian weightlifter don win bronze for continental meet,sports
489,Cameroonian NGO don build new clinic for remote village,health
490,Minister of labor don announce new worker protection policy,politics
491,Kontri handball league don introduce foreign player quota,sports
492,FECAFOOT don choose new head coach for national football team,sports
493,Kontri census bureau don use digital tool for data collection,technology
494,New neonatal care unit don save many premature baby dem,health
495,New kontri athletics track don open for Yaoundé stadium,sports
496,New budget allocation don favor education sector for kontri,politics
497,Kontri informal sector formalization program don start today,business
498,Paul Biya don travel go France for official state visit,politics
499,New rehabilitation center don open for person with disability,health
500,Cameroon don host African youth football championship 2026,sports
501,Govament don open new dialogue center for Anglophone issue,politics
502,New kontri trade statistics don show improvement for 2025,business
503,New facial recognition system don test for airport security,technology
504,President don sign decree to restructure state oil company,politics
505,Cameroon don conduct new national health household survey,health
506,New street art project don transform Douala Bali wall today,entertainment
507,Kontri health ministry don train first responder dem for city,health
508,Sport federation don announce new selection criteria today,sports
509,Cameroonian taekwondo athlete don win title for youth games,sports
510,Kontri organ donation awareness campaign don begin today,health
511,National team physio don report on player fitness for match,sports
512,Cameroon don receive WHO grant for disease surveillance,health
513,New local TV cooking show don celebrate Cameroonian food,entertainment
514,New kontri weightlifting academy don open for Douala today,sports
515,New sports museum don open for Yaoundé to honor kontri hero,sports
516,New kontri fashion brand don enter international market now,entertainment
517,New mobile health unit don serve community for far area,health
518,Cameroonian swimmer don return from world championship,sports
519,Local council elektion go hold for some town dem next month,politics
520,MTN Cameroon don announce billion franc profit for year,business
521,New technology park don break ground for Kribi smart city,technology
522,New kontri football stadium don complete for Yaoundé city,sports
523,Minister of territorial administration don tour conflict zone,politics
524,Douala port don record highest throughput for January,business
525,Kontri unemployment rate don rise for youth dem under 30,business
526,New broadband subsidy don help people for low-income area,technology
527,Timber industry don face new regulation for forest export,business
528,Free medical consultation don hold for indigent people dem,health
529,Cameroonian diabetes association don launch awareness week,health
530,Free postnatal care visit program don reach all clinic area,health
531,Prime Minister don open new technical school for north west,politics
532,Cameroonian football analyst don commentate for international TV,sports
533,Lions coach don select 25-man squad for upcoming AFCON,sports
534,New economic integration plan don present for cabinet meeting,politics
535,New peace proposal don come from religious leader dem today,politics
536,New disease outbreak response team don train for contact,health
537,New kontri podcast about history don attract big audience,entertainment
538,New green bond don raise climate finance for renewable deal,business
539,Cameroonian programmer don build anti-fake news detector,technology
540,New integrated tax payment system don launch for business,business
541,Free hearing test program don start for elderly people today,health
542,Kontri delegation don go World Bank meeting for Washington,politics
543,Cameroonian rice farmer dem don benefit from new subsidy,business
544,Cameroon school football team don win CECAFA tournament,sports
545,New mental health clinic don open for Buea university area,health
546,Cameroonian business incubator don produce fifteen startup,business
547,Kontri manufacturing PMI don rise for third month running,business
548,New Cameroonian web series don launch on YouTube platform,entertainment
549,Kontri nutrition ministry don launch complementary feeding plan,health
550,New sports academy don open for Kribi for young athlete dem,sports
551,Cameroon fishing industry don face competition from trawler,business
552,New mobile trading platform don connect buyer and seller,business
553,Govament don open consultation for new national development plan,politics
554,Kontri pension fund don invest in new infrastructure bond,business
555,New mortgage product don launch for middle class family dem,business
556,Kontri customs authority don simplify import procedure today,business
557,Cameroon don establish new food and drug control authority,health
558,Kontri rowing federation don train athlete for World Games,sports
559,Kontri health insurance scheme don expand to cover more people,health
560,New software company don open office in Yaoundé city,technology
561,Govament don send medical team go for conflict-affected zone,politics
562,New hotel don open for Kribi coast to boost tourism sector,business
563,Kontri president don promote new general for army leadership,politics
564,Kontri e-commerce law don protect buyer dem from online fraud,technology
565,Ministry don launch hand-washing campaign for primary school,health
566,New import regulation don protect kontri textile industry,business
567,International firm don choose Cameroon for regional hub,business
568,Opposition leader don call for early presidential elektion,politics
569,New comedy skit about Cameroon life don go viral globally,entertainment
570,New literary society don launch for young reader dem today,entertainment
571,Cameroonian university don launch robotics research center,technology
572,Amba boys dem don release statement about peace tok tok,politics
573,Cameroonian app don track school attendance for ministry,technology
574,Amateur football league don expand to ten new region dem,sports
575,New community health worker program don expand for rural zone,health
576,Kontri tech startup don raise seed funding for expansion,business
577,Cameroonian actress don star in new South African film,entertainment
578,Govament don launch national week for civic education today,politics
579,New agro-processing factory don commission near Maroua,business
580,Cameroonian Netflix series don go into third season today,entertainment
581,New music video from Douala don get international airplay,entertainment
582,New dance group don represent Cameroon for world competition,entertainment
583,Kontri e-government portal don integrate thirty new service,technology
584,Kontri police don arrest suspected separatist commander,politics
585,Kontri nurse association don demand better training support,health
586,Govament don accept proposal for prisoner exchange with Amba,politics
587,Govament don celebrate kontri national unity day for country,politics
588,Kontri TV drama series don win award for best production,entertainment
589,Kontri minister don attend opening of new sport centre,sports
590,Cameroonian saxophonist don play for jazz festival abroad,entertainment
591,New maternal waiting home don reduce risk for rural mother,health
